make_model,Price,Registration Date,COE Remaining,Manufactured,Mileage,No. of Owners,Transmission,Engine Capacity,fuel_type,COE,OMV,Paper Value,Depreciation,Type
VOLKSWAGEN JETTA 1.4A TSI (COE TILL 03/2024),"$25,800   ",18-Sep-2009,2yrs 10mths 12days,2009,"220,000 km",4,Auto,"1,390 cc",,"$12,763","$21,635","$3,661","$8,990 / year",Mid-Sized Sedan
HYUNDAI ELANTRA 1.6A GLS,"$60,800   ",21-Dec-2017,6yrs 7mths 1day,2017,"51,333 km",1,Auto,"1,591 cc",,"$42,339","$10,308","$35,640","$8,440 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$68,800   ",17-May-2018,6yrs 11mths 27days,2018,"42,427 km",2,Auto,"1,496 cc",,"$38,941","$14,843","$38,380","$8,770 / year",Mid-Sized Sedan
MITSUBISHI LANCER 1.6A GLX SPORTS (COE TILL 01/2024),"$17,500   ",21-Jan-2009,2yrs 8mths 1day,2008,"108,000 km",2,Auto,"1,584 cc",,"$13,024","$14,781","$3,483","$6,540 / year",Mid-Sized Sedan
TOYOTA COROLLA ALTIS 1.6A ELEGANCE,"$62,800   ",24-Jun-2016,5yrs 1mth 4days,2016,"85,590 km",1,Auto,"1,598 cc",,"$55,200","$19,990","$43,137","$10,360 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$52,800   ",11-Aug-2016,5yrs 2mths 22days,2016,"62,000 km",3,Auto,"1,496 cc",,"$53,000","$16,614","$36,430","$8,990 / year",Mid-Sized Sedan
SUBARU FORESTER 2.0I-L SUNROOF,"$87,800   ",27-Oct-2018,7yrs 5mths 7days,2018,"41,800 km",1,Auto,"1,995 cc",,"$31,302","$13,612","$33,510","$10,880 / year",SUV
HONDA VEZEL 1.5A X,"$83,800   ",30-Sep-2019,8yrs 4mths 10days,2018,"23,276 km",2,Auto,"1,496 cc",,"$26,659","$23,293","$33,271","$9,140 / year",SUV
TOYOTA VIOS 1.5M E (COE TILL 03/2026),"$33,800   ",28-Apr-2011,4yrs 10mths 12days,2011,"123,188 km",3,Manual,"1,497 cc",,"$20,699","$10,977","$10,077","$6,940 / year",Mid-Sized Sedan
MERCEDES-BENZ CLA-CLASS CLA180 URBAN,"$116,800   ",02-Aug-2018,7yrs 2mths 13days,2018,"55,000 km",1,Auto,"1,595 cc",,"$25,000","$29,059","$42,533","$13,940 / year",Luxury Sedan
BMW M SERIES M3 COUPE COMPETITION PACKAGE (COE TILL 04/2031),"$188,800   ",01-Jul-2011,9yrs 11mths 11days,2011,"90,000 km",5,Auto,"3,999 cc",,"$47,316","$92,561","$47,096","$18,970 / year",Sports Car
HONDA STREAM 1.8A X (COE TILL 09/2028),"$49,888   ",03-Dec-2008,7yrs 4mths 11days,2008,"160,213 km",3,Auto,"1,799 cc",,"$33,377","$21,003","$24,608","$6,770 / year",MPV
HYUNDAI ELANTRA 1.6A GLS,"$60,800   ",21-Dec-2017,6yrs 7mths 1day,2017,"51,333 km",1,Auto,"1,591 cc",,"$42,339","$10,308","$35,640","$8,440 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$68,800   ",17-May-2018,6yrs 11mths 27days,2018,"42,427 km",2,Auto,"1,496 cc",,"$38,941","$14,843","$38,380","$8,770 / year",Mid-Sized Sedan
MITSUBISHI LANCER 1.6A GLX SPORTS (COE TILL 01/2024),"$17,500   ",21-Jan-2009,2yrs 8mths 1day,2008,"108,000 km",2,Auto,"1,584 cc",,"$13,024","$14,781","$3,483","$6,540 / year",Mid-Sized Sedan
TOYOTA COROLLA ALTIS 1.6A ELEGANCE,"$62,800   ",24-Jun-2016,5yrs 1mth 4days,2016,"85,590 km",1,Auto,"1,598 cc",,"$55,200","$19,990","$43,137","$10,360 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$52,800   ",11-Aug-2016,5yrs 2mths 22days,2016,"62,000 km",3,Auto,"1,496 cc",,"$53,000","$16,614","$36,430","$8,990 / year",Mid-Sized Sedan
HYUNDAI ELANTRA 1.6A GLS S,"$62,800   ",01-Mar-2018,6yrs 9mths 10days,2018,"63,000 km",1,Auto,"1,591 cc",,"$36,810","$11,583","$33,668","$8,400 / year",Mid-Sized Sedan
MERCEDES-BENZ C-CLASS C180K (COE TILL 07/2030),"$71,998   ",22-Oct-2010,9yrs 2mths 12days,2010,"122,000 km",3,Auto,"1,597 cc",,"$32,875","$31,893","$30,263","$7,820 / year",Luxury Sedan
HONDA VEZEL 1.5A X,"$85,800   ",12-Jul-2019,8yrs 1mth 22days,2018,"31,075 km",1,Auto,"1,496 cc",,"$26,999","$23,123","$32,786","$9,640 / year",SUV
PEUGEOT 3008 1.6A PURETECH EAT8 ACTIVE,"$113,800   ",30-Jul-2020,9yrs 2mths 10days,2019,"8,000 km",1,Auto,"1,598 cc",,"$35,001","$24,373","$51,793","$10,950 / year",SUV
MERCEDES-BENZ C-CLASS C180 COUPE AMG LINE,"$134,888   ",12-Aug-2016,5yrs 2mths 23days,2016,"40,000 km",3,Auto,"1,595 cc",,"$57,010","$39,138","$61,178","$21,780 / year",Sports Car
VOLKSWAGEN JETTA 1.4A TSI (COE TILL 03/2024),"$25,800   ",18-Sep-2009,2yrs 10mths 12days,2009,"220,000 km",4,Auto,"1,390 cc",,"$12,763","$21,635","$3,661","$8,990 / year",Mid-Sized Sedan
HYUNDAI ELANTRA 1.6A GLS,"$60,800   ",21-Dec-2017,6yrs 7mths 1day,2017,"51,333 km",1,Auto,"1,591 cc",,"$42,339","$10,308","$35,640","$8,440 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$68,800   ",17-May-2018,6yrs 11mths 27days,2018,"42,427 km",2,Auto,"1,496 cc",,"$38,941","$14,843","$38,380","$8,770 / year",Mid-Sized Sedan
MITSUBISHI LANCER 1.6A GLX SPORTS (COE TILL 01/2024),"$17,500   ",21-Jan-2009,2yrs 8mths 1day,2008,"108,000 km",2,Auto,"1,584 cc",,"$13,024","$14,781","$3,483","$6,540 / year",Mid-Sized Sedan
TOYOTA COROLLA ALTIS 1.6A ELEGANCE,"$62,800   ",24-Jun-2016,5yrs 1mth 4days,2016,"85,590 km",1,Auto,"1,598 cc",,"$55,200","$19,990","$43,137","$10,360 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$52,800   ",11-Aug-2016,5yrs 2mths 22days,2016,"62,000 km",3,Auto,"1,496 cc",,"$53,000","$16,614","$36,430","$8,990 / year",Mid-Sized Sedan
AUDI RS 5 SPORTBACK 2.9A TFSI QUATTRO,"$315,800   ",03-Dec-2019,8yrs 6mths 13days,2019,"13,000 km",1,Auto,"2,894 cc",,"$41,001","$77,657","$118,873","$30,420 / year",Sports Car
BMW X3 SDRIVE20I,"$199,800   ",28-Jul-2020,9yrs 2mths 8days,2019,"18,700 km",1,Auto,"1,998 cc",,"$35,001","$41,087","$69,323","$19,040 / year",SUV
MASERATI GRANTURISMO CAMBIOCORSA (COE TILL 02/2029),"$145,000   ",17-Jun-2009,7yrs 9mths 9days,2009,"98,500 km",More than 6,Auto,"4,691 cc",,"$31,933","$130,050","$24,864","$18,620 / year",Sports Car
AUDI A4 1.4A TFSI S-TRONIC,"$88,888   ",28-Nov-2016,5yrs 6mths 8days,2016,"55,000 km",1,Auto,"1,395 cc",,"$53,001","$32,161","$49,573","$13,630 / year",Luxury Sedan
NISSAN X-TRAIL 2.0A PREMIUM 7-SEATER SUNROOF,"$69,888   ",06-May-2016,4yrs 11mths 16days,2016,"51,000 km",1,Auto,"1,997 cc",,"$46,502","$22,509","$39,544","$11,710 / year",SUV
CITROEN GRAND C4 PICASSO 1.2A PURETECH,"$90,500   ",30-Nov-2018,7yrs 6mths 10days,2017,"25,400 km",1,Auto,"1,199 cc",,"$25,000","$23,146","$37,146","$10,390 / year",MPV
TOYOTA COROLLA ALTIS 1.6A ELEGANCE,"$62,800   ",24-Jun-2016,5yrs 1mth 4days,2016,"85,590 km",1,Auto,"1,598 cc",,"$55,200","$19,990","$43,137","$10,360 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$52,800   ",11-Aug-2016,5yrs 2mths 22days,2016,"62,000 km",3,Auto,"1,496 cc",,"$53,000","$16,614","$36,430","$8,990 / year",Mid-Sized Sedan
TOYOTA CAMRY 2.0A,"$82,500   ",21-Nov-2016,5yrs 6mths 1day,2016,"64,804 km",1,Auto,"1,998 cc",,"$56,410","$29,038","$55,570","$12,010 / year",Luxury Sedan
SUBARU WRX 2.0A,"$98,888   ",29-Aug-2016,5yrs 3mths 9days,2016,"60,000 km",3,Auto,"1,998 cc",,"$47,000","$27,755","$47,956","$15,810 / year",Sports Car
VOLKSWAGEN SCIROCCO 1.4A TSI (COE TILL 08/2030),"$62,800   ",05-Jan-2011,9yrs 3mths 12days,2010,"126,000 km",4,Auto,"1,390 cc",,"$32,190","$24,811","$29,906","$6,760 / year",Sports Car
MERCEDES-BENZ C-CLASS C180 COUPE AMG LINE,"$134,888   ",12-Aug-2016,5yrs 2mths 23days,2016,"40,000 km",3,Auto,"1,595 cc",,"$57,010","$39,138","$61,178","$21,780 / year",Sports Car
VOLKSWAGEN JETTA 1.4A TSI (COE TILL 03/2024),"$25,800   ",18-Sep-2009,2yrs 10mths 12days,2009,"220,000 km",4,Auto,"1,390 cc",,"$12,763","$21,635","$3,661","$8,990 / year",Mid-Sized Sedan
HYUNDAI ELANTRA 1.6A GLS,"$60,800   ",21-Dec-2017,6yrs 7mths 1day,2017,"51,333 km",1,Auto,"1,591 cc",,"$42,339","$10,308","$35,640","$8,440 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$68,800   ",17-May-2018,6yrs 11mths 27days,2018,"42,427 km",2,Auto,"1,496 cc",,"$38,941","$14,843","$38,380","$8,770 / year",Mid-Sized Sedan
MITSUBISHI LANCER 1.6A GLX SPORTS (COE TILL 01/2024),"$17,500   ",21-Jan-2009,2yrs 8mths 1day,2008,"108,000 km",2,Auto,"1,584 cc",,"$13,024","$14,781","$3,483","$6,540 / year",Mid-Sized Sedan
TOYOTA COROLLA ALTIS 1.6A ELEGANCE,"$62,800   ",24-Jun-2016,5yrs 1mth 4days,2016,"85,590 km",1,Auto,"1,598 cc",,"$55,200","$19,990","$43,137","$10,360 / year",Mid-Sized Sedan
MAZDA 3 1.5A SUNROOF,"$52,800   ",11-Aug-2016,5yrs 2mths 22days,2016,"62,000 km",3,Auto,"1,496 cc",,"$53,000","$16,614","$36,430","$8,990 / year",Mid-Sized Sedan
HONDA CIVIC 1.6A VTI,"$60,800   ",06-Jan-2016,4yrs 7mths 17days,2015,"56,000 km",1,Auto,"1,598 cc",,"$59,200","$21,683","$43,093","$10,700 / year",Mid-Sized Sedan
BMW 3 SERIES 318I SHADOW EDITION,"$112,800   ",21-Dec-2017,6yrs 7mths 1day,2017,"39,000 km",2,Auto,"1,499 cc",,"$47,002","$34,502","$57,460","$14,430 / year",Luxury Sedan
MAZDA 3 HB 1.5A DELUXE,"$65,000   ",23-Jun-2016,5yrs 1mth 3days,2016,"80,000 km",1,Auto,"1,496 cc",,"$53,694","$19,695","$38,383","$11,310 / year",Hatchback
HYUNDAI AVANTE 1.6M (COE TILL 04/2025),"$22,800   ",22-May-2010,3yrs 11mths 11days,2010,"135,012 km",3,Manual,"1,591 cc",,"$16,438","$9,393","$6,494","$5,770 / year",Mid-Sized Sedan
TOYOTA SIENTA 1.5A G,"$58,800   ",01-Sep-2016,5yrs 3mths 12days,2015,"96,000 km",1,Auto,"1,496 cc",,"$52,503","$18,076","$33,819","$10,360 / year",MPV
HONDA CIVIC 1.6A VTI,"$70,800   ",02-Dec-2016,5yrs 6mths 12days,2016,"80,000 km",1,Auto,"1,597 cc",,"$53,334","$20,173","$44,728","$10,950 / year",Mid-Sized Sedan
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$106,800   ",05-Dec-2016,5yrs 6mths 15days,2016,"90,000 km",2,Auto,"1,595 cc",,"$57,508","$35,663","$59,602","$15,920 / year",Luxury Sedan
LEXUS GS450H HYBRID LUXURY,"$190,800   ",03-Aug-2017,6yrs 2mths 14days,2017,"32,300 km",1,Auto,"3,456 cc",Petrol-Electric,"$50,526","$74,703","$111,217","$22,160 / year",Luxury Sedan
LEXUS UX200 LUXURY,"$140,800   ",04-Nov-2019,8yrs 5mths 15days,2019,"15,700 km",2,Auto,"1,987 cc",,"$41,805","$37,981","$69,272","$13,960 / year",SUV
AUDI R8 4.2A FSI QUATTRO R-TRONIC (COE TILL 11/2029),"$195,800   ",09-Mar-2010,8yrs 6mths 11days,2009,"88,000 km",More than 6,Auto,"4,163 cc",,"$39,129","$141,126","$33,415","$22,930 / year",Sports Car
HONDA SHUTTLE 1.5A G,"$49,800   ",02-Mar-2016,4yrs 9mths 10days,2015,"88,000 km",2,Auto,"1,496 cc",,"$43,000","$16,524","$25,148","$9,720 / year",Stationwagon
BMW X3 SDRIVE20I,"$196,988   ",06-Apr-2020,8yrs 10mths 17days,2019,"12,000 km",1,Auto,"1,998 cc",,"$32,500","$41,087","$66,018","$19,380 / year",SUV
FERRARI 488 GTB,"$795,000   ",02-Sep-2017,6yrs 3mths 13days,2017,"15,900 km",2,Auto,"3,902 cc",,"$50,001","$266,128","$369,726","$90,530 / year",Sports Car
NISSAN QASHQAI 1.2A DIG-T PREMIUM,"$63,000   ",28-Dec-2016,5yrs 7mths 8days,2016,"43,000 km",1,Auto,"1,197 cc",,"$49,751","$18,689","$38,182","$10,010 / year",SUV
TOYOTA SIENTA 1.5A G,"$58,800   ",01-Sep-2016,5yrs 3mths 12days,2015,"96,000 km",1,Auto,"1,496 cc",,"$52,503","$18,076","$33,819","$10,360 / year",MPV
HONDA CIVIC 1.6A VTI,"$70,800   ",02-Dec-2016,5yrs 6mths 12days,2016,"80,000 km",1,Auto,"1,597 cc",,"$53,334","$20,173","$44,728","$10,950 / year",Mid-Sized Sedan
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$106,800   ",05-Dec-2016,5yrs 6mths 15days,2016,"90,000 km",2,Auto,"1,595 cc",,"$57,508","$35,663","$59,602","$15,920 / year",Luxury Sedan
LEXUS GS450H HYBRID LUXURY,"$190,800   ",03-Aug-2017,6yrs 2mths 14days,2017,"32,300 km",1,Auto,"3,456 cc",Petrol-Electric,"$50,526","$74,703","$111,217","$22,160 / year",Luxury Sedan
LEXUS UX200 LUXURY,"$140,800   ",04-Nov-2019,8yrs 5mths 15days,2019,"15,700 km",2,Auto,"1,987 cc",,"$41,805","$37,981","$69,272","$13,960 / year",SUV
AUDI R8 4.2A FSI QUATTRO R-TRONIC (COE TILL 11/2029),"$195,800   ",09-Mar-2010,8yrs 6mths 11days,2009,"88,000 km",More than 6,Auto,"4,163 cc",,"$39,129","$141,126","$33,415","$22,930 / year",Sports Car
HONDA SHUTTLE 1.5A G,"$49,800   ",02-Mar-2016,4yrs 9mths 10days,2015,"88,000 km",2,Auto,"1,496 cc",,"$43,000","$16,524","$25,148","$9,720 / year",Stationwagon
NISSAN QASHQAI 2.0A,"$68,500   ",31-Mar-2017,5yrs 10mths 11days,2017,"43,000 km",1,Auto,"1,997 cc",,"$53,300","$19,507","$45,895","$10,020 / year",SUV
MITSUBISHI OUTLANDER 2.0A,"$96,500   ",22-Nov-2018,7yrs 6mths 2days,2018,"43,388 km",2,Auto,"1,998 cc",,"$31,302","$19,467","$38,124","$11,550 / year",SUV
SUZUKI SWIFT 1.2A XG (COE TILL 01/2024),"$21,400   ",08-Jan-2009,2yrs 7mths 19days,2008,"154,000 km",6,Auto,"1,242 cc",,"$13,024","$10,907","$3,436","$8,110 / year",Hatchback
TOYOTA FJ CRUISER,"$87,800   ",16-Apr-2014,2yrs 10mths 27days,2014,"66,680 km",3,Auto,"3,955 cc",,"$77,003","$36,988","$48,675","$22,650 / year",SUV
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
MERCEDES-BENZ E-CLASS E250,"$77,800   ",28-Oct-2013,2yrs 5mths 8days,2013,"88,000 km",1,Auto,"1,991 cc",,"$81,751","$49,985","$54,144","$20,200 / year",Luxury Sedan
HONDA VEZEL HYBRID 1.5A X,"$63,800   ",11-Jan-2017,5yrs 7mths 22days,2016,"83,500 km",1,Auto,"1,496 cc",Petrol-Electric,"$54,200","$25,603","$34,369","$10,850 / year",SUV
MASERATI GRANCABRIO SPORT 4.7A,"$215,000   ",06-May-2014,2yrs 11mths 16days,2013,"47,000 km",3,Auto,"4,691 cc",,"$84,001","$123,595","$141,584","$39,730 / year",Sports Car
VOLVO V60 CROSS COUNTRY T5,"$97,500   ",29-Aug-2017,6yrs 3mths 9days,2017,"56,800 km",1,Auto,"1,969 cc",,"$50,101","$31,565","$58,604","$12,650 / year",Stationwagon
TOYOTA FJ CRUISER,"$87,800   ",16-Apr-2014,2yrs 10mths 27days,2014,"66,680 km",3,Auto,"3,955 cc",,"$77,003","$36,988","$48,675","$22,650 / year",SUV
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
VOLKSWAGEN SCIROCCO 1.4A TSI,"$31,300   ",23-Jun-2012,1yr 1mth 3days,2012,"145,000 km",3,Auto,"1,390 cc",,"$59,003","$25,810","$20,645","$16,830 / year",Sports Car
CITROEN C4 PICASSO DIESEL 1.6A BLUEHDI,"$65,000   ",31-Aug-2016,5yrs 3mths 11days,2016,"69,000 km",1,Auto,"1,560 cc",Diesel,"$53,334","$22,733","$34,807","$11,460 / year",MPV
TOYOTA VIOS 1.5A J (COE TILL 11/2022),"$13,800   ",22-Nov-2007,1yr 6mths 2days,2007,"143,000 km",4,Auto,"1,497 cc",,"$20,997","$12,074","$3,170","$9,140 / year",Mid-Sized Sedan
MITSUBISHI GRANDIS 2.4A SPORTS (COE TILL 08/2022),"$12,800   ",30-Aug-2007,1yr 3mths 10days,2007,"135,000 km",6,Auto,"2,378 cc",,"$25,486","$22,748","$3,261","$10,000 / year",MPV
AUDI A5 CABRIOLET 2.0A TFSI QUATTRO S-LINE (COE TILL 10/2029),"$129,800   ",12-Apr-2010,8yrs 5mths 12days,2009,"115,000 km",4,Auto,"1,984 cc",,"$37,502","$50,354","$31,717","$15,350 / year",Sports Car
BMW 1 SERIES 118I 5DR M-SPORT,"$149,888   ",29-Oct-2020,9yrs 5mths 9days,2020,"14,171 km",1,Auto,"1,499 cc",,"$37,705","$34,076","$65,409","$13,760 / year",Hatchback
AUDI A3 SPORTBACK 1.4A TFSI S-TRONIC AMBITION,"$43,999   ",10-Dec-2013,2yrs 6mths 20days,2013,"56,188 km",2,Auto,"1,395 cc",,"$73,160","$27,930","$28,382","$14,050 / year",Hatchback
TOYOTA FJ CRUISER,"$87,800   ",16-Apr-2014,2yrs 10mths 27days,2014,"66,680 km",3,Auto,"3,955 cc",,"$77,003","$36,988","$48,675","$22,650 / year",SUV
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
PORSCHE CAYENNE 3.6A TIP (COE TILL 08/2030),"$125,000   ",19-Oct-2010,9yrs 3mths 12days,2010,"122,000 km",4,Auto,"3,598 cc",,"$32,914","$73,242","$30,578","$13,450 / year",SUV
SUZUKI SWIFT 1.2A XG (COE TILL 01/2024),"$21,400   ",08-Jan-2009,2yrs 7mths 19days,2008,"154,000 km",6,Auto,"1,242 cc",,"$13,024","$10,907","$3,436","$8,110 / year",Hatchback
TOYOTA FJ CRUISER,"$87,800   ",16-Apr-2014,2yrs 10mths 27days,2014,"66,680 km",3,Auto,"3,955 cc",,"$77,003","$36,988","$48,675","$22,650 / year",SUV
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
TOYOTA COROLLA ALTIS 1.6A (COE TILL 09/2024),"$24,800   ",15-Oct-2009,3yrs 4mths 11days,2009,"155,000 km",4,Auto,"1,598 cc",,"$14,743","$17,853","$4,968","$7,360 / year",Mid-Sized Sedan
MERCEDES-BENZ SL-CLASS SL63 AMG,"$227,800   ",18-Oct-2012,1yr 4mths 28days,2012,"38,633 km",2,Auto,"5,461 cc",,"$85,400","$202,799","$123,612","$89,410 / year",Sports Car
SUZUKI VITARA 1.6A GLX,"$65,888   ",28-Jun-2017,6yrs 1mth 8days,2016,"52,000 km",1,Auto,"1,586 cc",,"$45,201","$16,803","$36,468","$9,820 / year",SUV
HONDA FREED HYBRID 1.5A G 7-SEATER,"$93,800   ",16-Oct-2018,7yrs 4mths 26days,2018,"17,123 km",1,Auto,"1,496 cc",Petrol-Electric,"$31,301","$26,007","$37,013","$11,410 / year",MPV
MERCEDES-BENZ E-CLASS E240 (COE TILL 10/2024),"$34,900   ",03-Nov-2004,3yrs 5mths 12days,2004,"138,595 km",1,Auto,"2,597 cc",,"$69,429","$59,644","$23,986","$10,100 / year",Luxury Sedan
BMW M SERIES X4 M COMPETITION,"$429,888   ",28-Jan-2021,9yrs 8mths 8days,2019,"3,000 km",1,Auto,"2,993 cc",,"$49,500","$94,076","$154,011","$37,040 / year",SUV
BMW M SERIES X3 M COMPETITION,"$419,888   ",10-Feb-2021,9yrs 8mths 21days,2019,"4,500 km",1,Auto,"2,993 cc",,"$49,500","$92,008","$151,396","$36,070 / year",SUV
BMW M SERIES M340I XDRIVE,"$306,888   ",26-Nov-2020,9yrs 6mths 6days,2020,"3,000 km",1,Auto,"2,998 cc",,"$39,889","$62,563","$101,459","$27,770 / year",Luxury Sedan
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
MITSUBISHI OUTLANDER 2.0A,"$96,500   ",22-Nov-2018,7yrs 6mths 2days,2018,"43,388 km",2,Auto,"1,998 cc",,"$31,302","$19,467","$38,124","$11,550 / year",SUV
SUZUKI SWIFT 1.2A XG (COE TILL 01/2024),"$21,400   ",08-Jan-2009,2yrs 7mths 19days,2008,"154,000 km",6,Auto,"1,242 cc",,"$13,024","$10,907","$3,436","$8,110 / year",Hatchback
TOYOTA FJ CRUISER,"$87,800   ",16-Apr-2014,2yrs 10mths 27days,2014,"66,680 km",3,Auto,"3,955 cc",,"$77,003","$36,988","$48,675","$22,650 / year",SUV
MERCEDES-BENZ E-CLASS E200 AVANTGARDE SUNROOF,"$189,500   ",21-Feb-2017,5yrs 9mths 1day,2016,"56,000 km",2,Auto,"1,991 cc",,"$52,600","$48,864","$75,614","$27,650 / year",Luxury Sedan
BMW X2 SDRIVE20I M-SPORT X,"$145,800   ",11-Mar-2019,7yrs 9mths 19days,2018,"19,778 km",2,Auto,"1,998 cc",,"$35,310","$40,991","$64,631","$15,500 / year",SUV
TOYOTA VELLFIRE 2.5A Z A-EDITION,"$86,888   ",30-Jun-2015,4yrs 1mth 10days,2015,"112,000 km",4,Auto,"2,493 cc",,"$74,501","$34,374","$58,744","$16,240 / year",MPV
NISSAN QASHQAI 1.2A DIG-T,"$62,800   ",26-Oct-2016,5yrs 5mths 6days,2016,"80,000 km",3,Auto,"1,197 cc",,"$50,991","$18,689","$37,997","$10,290 / year",SUV
VOLKSWAGEN SCIROCCO 1.4A TSI (COE TILL 09/2030),"$61,800   ",07-Jan-2011,9yrs 4mths 11days,2010,"120,000 km",3,Auto,"1,390 cc",,"$33,140","$25,307","$31,061","$6,590 / year",Sports Car
FERRARI 458 ITALIA,"$525,000   ",29-Apr-2013,1yr 11mths 9days,2012,"32,000 km",5,Auto,"4,497 cc",,"$97,889","$320,959","$195,542","$187,660 / year",Sports Car
KIA SORENTO DIESEL 2.2A CRDI SUNROOF,"$123,800   ",22-Mar-2019,7yrs 10mths 2days,2018,"23,000 km",1,Auto,"2,199 cc",Diesel,"$33,989","$30,886","$53,091","$13,540 / year",SUV
TOYOTA VIOS 1.5A E (COE TILL 08/2024),"$23,800   ",13-Aug-2009,3yrs 2mths 24days,2009,"159,000 km",3,Auto,"1,497 cc",,"$14,664","$12,717","$4,745","$7,360 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF GTI 5DR,"$166,800   ",14-Jul-2020,9yrs 1mth 24days,2018,"7,900 km",1,Auto,"1,984 cc",,"$35,889","$34,526","$63,113","$16,010 / year",Sports Car
MERCEDES-BENZ C-CLASS C200,"$95,600   ",04-Aug-2015,4yrs 2mths 15days,2015,"99,000 km",3,Auto,"1,991 cc",,"$58,109","$34,509","$49,189","$18,510 / year",Luxury Sedan
MERCEDES-BENZ C-CLASS C63 AMG (COE TILL 04/2029),"$118,000   ",08-May-2009,7yrs 11mths 11days,2008,"73,000 km",3,Auto,"6,208 cc",,"$35,411","$99,345","$28,164","$14,840 / year",Sports Car
TOYOTA MARK X (COE TILL 08/2027),"$40,800   ",17-Sep-2007,6yrs 3mths 12days,2007,"206,900 km",4,Auto,"2,499 cc",,"$50,972","$25,591","$32,050","$6,490 / year",Luxury Sedan
BMW 3 SERIES 328I,"$91,000   ",31-Dec-2014,3yrs 7mths 11days,2014,"135,000 km",3,Auto,"1,997 cc",,"$73,990","$43,589","$57,995","$18,510 / year",Luxury Sedan
VOLKSWAGEN GOLF 1.4A TSI COMFORTLINE,"$97,888   ",26-Dec-2019,8yrs 7mths 6days,2019,"14,000 km",1,Auto,"1,395 cc",,"$32,889","$19,700","$43,087","$10,230 / year",Hatchback
PORSCHE PANAMERA 3.6A PDK (COE TILL 04/2031),"$156,888   ",21-Apr-2011,9yrs 11mths 1day,2010,"105,093 km",1,Auto,"3,605 cc",,"$47,316","$111,494","$46,966","$15,810 / year",Sports Car
BMW 3 SERIES 320I EFFICIENT DYNAMICS,"$66,800   ",03-Feb-2015,3yrs 8mths 14days,2014,"85,000 km",2,Auto,"1,598 cc",,"$76,889","$34,947","$48,646","$13,830 / year",Luxury Sedan
NISSAN QASHQAI 2.0A,"$68,500   ",31-Mar-2017,5yrs 10mths 11days,2017,"43,000 km",1,Auto,"1,997 cc",,"$53,300","$19,507","$45,895","$10,020 / year",SUV
MITSUBISHI OUTLANDER 2.0A,"$96,500   ",22-Nov-2018,7yrs 6mths 2days,2018,"43,388 km",2,Auto,"1,998 cc",,"$31,302","$19,467","$38,124","$11,550 / year",SUV
SUZUKI SWIFT 1.2A XG (COE TILL 01/2024),"$21,400   ",08-Jan-2009,2yrs 7mths 19days,2008,"154,000 km",6,Auto,"1,242 cc",,"$13,024","$10,907","$3,436","$8,110 / year",Hatchback
HYUNDAI KONA 1.0M T-GDI,"$64,800   ",24-Mar-2018,6yrs 10mths 4days,2018,"58,000 km",1,Manual,998 cc,,"$36,890","$11,424","$29,017","$9,100 / year",SUV
MERCEDES-BENZ CLA-CLASS CLA45 S AMG 4MATIC+ PLUS,"$296,800   ",07-Jan-2021,9yrs 7mths 18days,2020,"7,000 km",1,Auto,"1,991 cc",,"$49,001","$71,558","$122,846","$25,560 / year",Sports Car
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$137,800   ",22-Oct-2018,7yrs 5mths 2days,2018,"44,666 km",2,Auto,"1,595 cc",,"$37,330","$37,480","$61,091","$15,550 / year",Luxury Sedan
